edge_density,relative_length,label
0.05132147944647945,0.11941391941391942,1
0.04961462148962149,0.11868131868131868,1
0.04897385022385022,0.13882783882783883,1
0.049051943426943426,0.13223443223443224,1
0.048239468864468865,0.23809523809523808,1
0.05056089743589744,0.022347324604644166,1
0.04754655067155067,0.06886446886446887,1
0.048584656084656085,0.05201465201465202,1
0.051567969067969066,0.018318680952454192,1
0.051606125356125354,0.16703296703296702,1
0.05018493080993081,0.05970695970695971,1
0.05150717338217338,0.1523809523809524,1
0.048426434676434676,0.11098901098901098,1
0.04866885429385429,0.22673992673992674,1
0.04713929588929589,0.10402930402930403,1
0.048652065527065524,0.02859255347529162,1
0.04669057794057794,0.02271062271062271,1
0.04982066544566545,0.0326007326007326,1
0.048998778998779,0.06967510566282512,1
0.04930987993487994,0.06851383730997054,1
0.04954339641839642,0.08754578754578754,1
0.05012515262515262,0.022347324604644166,1
0.04783297720797721,0.03114414877509154,1
0.051098137973137975,0.039926739926739924,1
0.0484745115995116,0.08754578754578754,1
0.05055708180708181,0.03114414877509154,1
0.048638583638583636,0.0307779509708425,1
0.0494243487993488,0.05201465201465202,1
0.04961360398860399,0.05384615384615385,1
0.051737382987382986,0.022356328966545245,1
0.04951617826617827,0.046153846153846156,1
0.050561406186406185,0.03736981903254755,1
0.05007249694749695,0.019413919413919414,1
0.05149623524623525,0.019417374770254316,1
0.050654761904761904,0.047619047619047616,1
0.05226572039072039,0.045054945054945054,1
0.05063161375661376,0.020512820512820513,1
0.05113146113146113,0.019783611159546927,1
0.05111390923890924,0.0619740817424492,1
0.051953601953601956,0.020525898499812307,1
0.04923611111111111,0.03809699911398838,1
0.04983948921448921,0.015755174481763053,1
0.048006461131461134,0.020512820512820513,1
0.04836411273911274,0.04945054945054945,1
0.04562067562067562,0.023446084990190855,1
0.046551434676434675,0.05354128640764838,1
0.04511879324379325,0.03629332422277476,1
0.04906949531949532,0.02161172161172161,1
0.04640338827838828,0.05558359125684615,1
0.047899369149369146,0.023088548731603552,1
0.04641559829059829,0.023079830039594674,1
0.04667684167684168,0.028947000879311863,1
0.04643238705738706,0.04908424908424908,1
0.04571810134310134,0.018315018315018316,1
0.04350732600732601,0.03553113553113553,1
0.04383648758648759,0.045060900764826314,1
0.042129375254375254,0.0194277371519064,1
0.04443757631257631,0.020512820512820513,1
0.042017195767195765,0.017586232797300812,1
0.04371082621082621,0.02198107426912454,1
0.04141559829059829,0.0194277371519064,1
0.042808302808302806,0.17399267399267399,1
0.041475376475376476,0.15567765567765568,1
0.04280397842897843,0.020525898499812307,1
0.04221815221815222,0.04509215533618805,1
0.045100986975986974,0.020512820512820513,1
0.04234712047212047,0.01538897548542125,1
0.043675976800976804,0.0307779509708425,1
0.04227971102971103,0.027128492983568533,1
0.042443528693528694,0.020512820512820513,1
0.04206959706959707,0.04103218158224307,1
0.04396850834350834,0.02673992673992674,1
0.04141559829059829,0.03296906790626314,1
0.04176078551078551,0.017216117216117217,1
0.041352767602767605,0.041025641025641026,1
0.04249643874643875,0.020891969570108717,1
0.04111212861212861,0.03846851497863948,1
0.042173636548636546,0.05201465201465202,1
0.04075931013431013,0.03811108433458757,1
0.04200015262515262,0.034432234432234435,1
0.03936202686202686,0.016483516483516484,1
0.0395723951973952,0.17362637362637362,1
0.03885582010582011,0.018684909516273773,1
0.039276048026048026,0.10184204230372047,1
0.037443274318274315,0.18644688644688645,1
0.03776760276760277,0.020512820512820513,1
0.03739748677248677,0.014670318237729515,1
0.03624618437118437,0.019061702316861082,1
0.03638558201058201,0.018318680952454192,1
0.03827966015466015,0.024544857974726674,1
0.03640389702889703,0.020525898499812307,1
0.037413512413512415,0.210989010989011,1
0.036732041107041105,0.020516090791121534,1
0.03775691900691901,0.020516090791121534,1
0.03747685185185185,0.03335144216876201,1
0.038033170533170534,0.016499788468212758,1
0.036778083028083025,0.033341382918897024,1
0.03821708384208384,0.01538897548542125,1
0.037441239316239314,0.026749960483897096,1
0.038817918192918195,0.03188707280999321,1
0.03835927960927961,0.05277904007597483,1
0.03931801994301994,0.03518200130457609,1
0.038617470492470496,0.030038863492411583,1
0.04038334350834351,0.030072345423844384,1
0.03921270858770859,0.05384615384615385,1
0.03908730158730159,0.018315018315018316,1
0.03811151811151811,0.17326007326007326,1
0.040047568172568174,0.15531135531135531,1
0.037506105006105,0.04065934065934066,1
